"Notes","Residence County","Residence County Code","Year","Year Code",Deaths,Population,Crude Rate
,"Adair County, MO","29001","2018","2018",0,25339,Unreliable
,"Adair County, MO","29001","2019","2019",0,25343,Unreliable
,"Adair County, MO","29001","2020","2020",Suppressed,25399,Suppressed
,"Adair County, MO","29001","2021","2021",Suppressed,25185,Suppressed
,"Adair County, MO","29001","2022","2022",0,25165,Unreliable
,"Adair County, MO","29001","2023","2023",Suppressed,25122,Suppressed
,"Adair County, MO","29001","2024 (provisional)","2024",0,25122,Unreliable
,"Adair County, MO","29001","2025 (provisional and partial)","2025",0,25122,Unreliable
,"Andrew County, MO","29003","2018","2018",0,17607,Unreliable
,"Andrew County, MO","29003","2019","2019",0,17712,Unreliable
,"Andrew County, MO","29003","2020","2020",0,17586,Unreliable
,"Andrew County, MO","29003","2021","2021",Suppressed,18002,Suppressed
,"Andrew County, MO","29003","2022","2022",Suppressed,18003,Suppressed
,"Andrew County, MO","29003","2023","2023",Suppressed,18127,Suppressed
,"Andrew County, MO","29003","2024 (provisional)","2024",Suppressed,18127,Suppressed
,"Andrew County, MO","29003","2025 (provisional and partial)","2025",0,18127,Unreliable
,"Atchison County, MO","29005","2018","2018",0,5171,Unreliable
,"Atchison County, MO","29005","2019","2019",0,5143,Unreliable
,"Atchison County, MO","29005","2020","2020",0,5096,Unreliable
,"Atchison County, MO","29005","2021","2021",Suppressed,5234,Suppressed
,"Atchison County, MO","29005","2022","2022",0,5182,Unreliable
,"Atchison County, MO","29005","2023","2023",0,5107,Unreliable
,"Atchison County, MO","29005","2024 (provisional)","2024",0,5107,Unreliable
,"Atchison County, MO","29005","2025 (provisional and partial)","2025",0,5107,Unreliable
,"Audrain County, MO","29007","2018","2018",Suppressed,25473,Suppressed
,"Audrain County, MO","29007","2019","2019",Suppressed,25388,Suppressed
,"Audrain County, MO","29007","2020","2020",Suppressed,24835,Suppressed
,"Audrain County, MO","29007","2021","2021",Suppressed,24982,Suppressed
,"Audrain County, MO","29007","2022","2022",Suppressed,24434,Suppressed
,"Audrain County, MO","29007","2023","2023",Suppressed,24394,Suppressed
,"Audrain County, MO","29007","2024 (provisional)","2024",Suppressed,24394,Suppressed
,"Audrain County, MO","29007","2025 (provisional and partial)","2025",0,24394,Unreliable
,"Barry County, MO","29009","2018","2018",Suppressed,35886,Suppressed
,"Barry County, MO","29009","2019","2019",0,35789,Unreliable
,"Barry County, MO","29009","2020","2020",Suppressed,35818,Suppressed
,"Barry County, MO","29009","2021","2021",0,34712,Unreliable
,"Barry County, MO","29009","2022","2022",Suppressed,34926,Suppressed
,"Barry County, MO","29009","2023","2023",Suppressed,35265,Suppressed
,"Barry County, MO","29009","2024 (provisional)","2024",0,35265,Unreliable
,"Barry County, MO","29009","2025 (provisional and partial)","2025",0,35265,Unreliable
,"Barton County, MO","29011","2018","2018",0,11798,Unreliable
,"Barton County, MO","29011","2019","2019",Suppressed,11754,Suppressed
,"Barton County, MO","29011","2020","2020",0,11592,Unreliable
,"Barton County, MO","29011","2021","2021",Suppressed,11658,Suppressed
,"Barton County, MO","29011","2022","2022",0,11694,Unreliable
,"Barton County, MO","29011","2023","2023",Suppressed,11731,Suppressed
,"Barton County, MO","29011","2024 (provisional)","2024",0,11731,Unreliable
,"Barton County, MO","29011","2025 (provisional and partial)","2025",0,11731,Unreliable
,"Bates County, MO","29013","2018","2018",Suppressed,16320,Suppressed
,"Bates County, MO","29013","2019","2019",Suppressed,16172,Suppressed
,"Bates County, MO","29013","2020","2020",0,16242,Unreliable
,"Bates County, MO","29013","2021","2021",Suppressed,16105,Suppressed
,"Bates County, MO","29013","2022","2022",Suppressed,16177,Suppressed
,"Bates County, MO","29013","2023","2023",0,16242,Unreliable
,"Bates County, MO","29013","2024 (provisional)","2024",Suppressed,16242,Suppressed
,"Bates County, MO","29013","2025 (provisional and partial)","2025",Suppressed,16242,Suppressed
,"Benton County, MO","29015","2018","2018",Suppressed,19278,Suppressed
,"Benton County, MO","29015","2019","2019",Suppressed,19443,Suppressed
,"Benton County, MO","29015","2020","2020",Suppressed,19627,Suppressed
,"Benton County, MO","29015","2021","2021",0,19908,Unreliable
,"Benton County, MO","29015","2022","2022",0,20224,Unreliable
,"Benton County, MO","29015","2023","2023",Suppressed,20552,Suppressed
,"Benton County, MO","29015","2024 (provisional)","2024",Suppressed,20552,Suppressed
,"Benton County, MO","29015","2025 (provisional and partial)","2025",0,20552,Unreliable
,"Bollinger County, MO","29017","2018","2018",0,12169,Unreliable
,"Bollinger County, MO","29017","2019","2019",0,12133,Unreliable
,"Bollinger County, MO","29017","2020","2020",Suppressed,12111,Suppressed
,"Bollinger County, MO","29017","2021","2021",Suppressed,10556,Suppressed
,"Bollinger County, MO","29017","2022","2022",0,10518,Unreliable
,"Bollinger County, MO","29017","2023","2023",Suppressed,10544,Suppressed
,"Bollinger County, MO","29017","2024 (provisional)","2024",Suppressed,10544,Suppressed
,"Bollinger County, MO","29017","2025 (provisional and partial)","2025",0,10544,Unreliable
,"Boone County, MO","29019","2018","2018",24,180005,13.3
,"Boone County, MO","29019","2019","2019",20,180463,11.1
,"Boone County, MO","29019","2020","2020",23,182991,12.6
,"Boone County, MO","29019","2021","2021",34,185840,18.3
,"Boone County, MO","29019","2022","2022",36,187690,19.2
,"Boone County, MO","29019","2023","2023",37,189463,19.5
,"Boone County, MO","29019","2024 (provisional)","2024",18,189463,Unreliable
,"Boone County, MO","29019","2025 (provisional and partial)","2025",Suppressed,189463,Suppressed
,"Buchanan County, MO","29021","2018","2018",10,88571,Unreliable
,"Buchanan County, MO","29021","2019","2019",Suppressed,87364,Suppressed
,"Buchanan County, MO","29021","2020","2020",16,86530,Unreliable
,"Buchanan County, MO","29021","2021","2021",18,83853,Unreliable
,"Buchanan County, MO","29021","2022","2022",31,82911,37.4
,"Buchanan County, MO","29021","2023","2023",22,82956,26.5
,"Buchanan County, MO","29021","2024 (provisional)","2024",21,82956,25.3
,"Buchanan County, MO","29021","2025 (provisional and partial)","2025",Suppressed,82956,Suppressed
,"Butler County, MO","29023","2018","2018",Suppressed,42639,Suppressed
,"Butler County, MO","29023","2019","2019",Suppressed,42478,Suppressed
,"Butler County, MO","29023","2020","2020",Suppressed,42178,Suppressed
,"Butler County, MO","29023","2021","2021",13,42101,Unreliable
,"Butler County, MO","29023","2022","2022",Suppressed,42179,Suppressed
,"Butler County, MO","29023","2023","2023",Suppressed,41948,Suppressed
,"Butler County, MO","29023","2024 (provisional)","2024",Suppressed,41948,Suppressed
,"Butler County, MO","29023","2025 (provisional and partial)","2025",0,41948,Unreliable
,"Caldwell County, MO","29025","2018","2018",Suppressed,9108,Suppressed
,"Caldwell County, MO","29025","2019","2019",Suppressed,9020,Suppressed
,"Caldwell County, MO","29025","2020","2020",Suppressed,9051,Suppressed
,"Caldwell County, MO","29025","2021","2021",0,8897,Unreliable
,"Caldwell County, MO","29025","2022","2022",Suppressed,8933,Suppressed
,"Caldwell County, MO","29025","2023","2023",0,8955,Unreliable
,"Caldwell County, MO","29025","2024 (provisional)","2024",Suppressed,8955,Suppressed
,"Caldwell County, MO","29025","2025 (provisional and partial)","2025",0,8955,Unreliable
,"Callaway County, MO","29027","2018","2018",Suppressed,44889,Suppressed
,"Callaway County, MO","29027","2019","2019",Suppressed,44743,Suppressed
,"Callaway County, MO","29027","2020","2020",Suppressed,44887,Suppressed
,"Callaway County, MO","29027","2021","2021",10,44638,Unreliable
,"Callaway County, MO","29027","2022","2022",13,44762,Unreliable
,"Callaway County, MO","29027","2023","2023",Suppressed,44731,Suppressed
,"Callaway County, MO","29027","2024 (provisional)","2024",Suppressed,44731,Suppressed
,"Callaway County, MO","29027","2025 (provisional and partial)","2025",Suppressed,44731,Suppressed
,"Camden County, MO","29029","2018","2018",Suppressed,45815,Suppressed
,"Camden County, MO","29029","2019","2019",Suppressed,46305,Suppressed
,"Camden County, MO","29029","2020","2020",Suppressed,46414,Suppressed
,"Camden County, MO","29029","2021","2021",Suppressed,43436,Suppressed
,"Camden County, MO","29029","2022","2022",0,43768,Unreliable
,"Camden County, MO","29029","2023","2023",Suppressed,44044,Suppressed
,"Camden County, MO","29029","2024 (provisional)","2024",Suppressed,44044,Suppressed
,"Camden County, MO","29029","2025 (provisional and partial)","2025",0,44044,Unreliable
,"Cape Girardeau County, MO","29031","2018","2018",Suppressed,78753,Suppressed
,"Cape Girardeau County, MO","29031","2019","2019",Suppressed,78871,Suppressed
,"Cape Girardeau County, MO","29031","2020","2020",Suppressed,79512,Suppressed
,"Cape Girardeau County, MO","29031","2021","2021",Suppressed,82113,Suppressed
,"Cape Girardeau County, MO","29031","2022","2022",Suppressed,82899,Suppressed
,"Cape Girardeau County, MO","29031","2023","2023",Suppressed,82984,Suppressed
,"Cape Girardeau County, MO","29031","2024 (provisional)","2024",Suppressed,82984,Suppressed
,"Cape Girardeau County, MO","29031","2025 (provisional and partial)","2025",Suppressed,82984,Suppressed
,"Carroll County, MO","29033","2018","2018",Suppressed,8743,Suppressed
,"Carroll County, MO","29033","2019","2019",0,8679,Unreliable
,"Carroll County, MO","29033","2020","2020",Suppressed,8554,Suppressed
,"Carroll County, MO","29033","2021","2021",0,8376,Unreliable
,"Carroll County, MO","29033","2022","2022",Suppressed,8423,Suppressed
,"Carroll County, MO","29033","2023","2023",0,8391,Unreliable
,"Carroll County, MO","29033","2024 (provisional)","2024",0,8391,Unreliable
,"Carroll County, MO","29033","2025 (provisional and partial)","2025",0,8391,Unreliable
,"Carter County, MO","29035","2018","2018",0,6054,Unreliable
,"Carter County, MO","29035","2019","2019",0,5982,Unreliable
,"Carter County, MO","29035","2020","2020",0,5991,Unreliable
,"Carter County, MO","29035","2021","2021",0,5320,Unreliable
,"Carter County, MO","29035","2022","2022",0,5268,Unreliable
,"Carter County, MO","29035","2023","2023",0,5303,Unreliable
,"Carter County, MO","29035","2024 (provisional)","2024",0,5303,Unreliable
,"Carter County, MO","29035","2025 (provisional and partial)","2025",0,5303,Unreliable
,"Cass County, MO","29037","2018","2018",Suppressed,104954,Suppressed
,"Cass County, MO","29037","2019","2019",Suppressed,105780,Suppressed
,"Cass County, MO","29037","2020","2020",10,106806,Unreliable
,"Cass County, MO","29037","2021","2021",12,109638,Unreliable
,"Cass County, MO","29037","2022","2022",19,110394,Unreliable
,"Cass County, MO","29037","2023","2023",15,111732,Unreliable
,"Cass County, MO","29037","2024 (provisional)","2024",16,111732,Unreliable
,"Cass County, MO","29037","2025 (provisional and partial)","2025",Suppressed,111732,Suppressed
,"Cedar County, MO","29039","2018","2018",0,14165,Unreliable
,"Cedar County, MO","29039","2019","2019",0,14349,Unreliable
,"Cedar County, MO","29039","2020","2020",Suppressed,14322,Suppressed
,"Cedar County, MO","29039","2021","2021",0,14496,Unreliable
,"Cedar County, MO","29039","2022","2022",Suppressed,14601,Suppressed
,"Cedar County, MO","29039","2023","2023",Suppressed,14672,Suppressed
,"Cedar County, MO","29039","2024 (provisional)","2024",Suppressed,14672,Suppressed
,"Cedar County, MO","29039","2025 (provisional and partial)","2025",Suppressed,14672,Suppressed
,"Chariton County, MO","29041","2018","2018",0,7451,Unreliable
,"Chariton County, MO","29041","2019","2019",0,7426,Unreliable
,"Chariton County, MO","29041","2020","2020",0,7360,Unreliable
,"Chariton County, MO","29041","2021","2021",0,7356,Unreliable
,"Chariton County, MO","29041","2022","2022",0,7386,Unreliable
,"Chariton County, MO","29041","2023","2023",Suppressed,7399,Suppressed
,"Chariton County, MO","29041","2024 (provisional)","2024",0,7399,Unreliable
,"Chariton County, MO","29041","2025 (provisional and partial)","2025",0,7399,Unreliable
,"Christian County, MO","29043","2018","2018",Suppressed,86983,Suppressed
,"Christian County, MO","29043","2019","2019",Suppressed,88595,Suppressed
,"Christian County, MO","29043","2020","2020",Suppressed,90655,Suppressed
,"Christian County, MO","29043","2021","2021",15,91499,Unreliable
,"Christian County, MO","29043","2022","2022",15,93114,Unreliable
,"Christian County, MO","29043","2023","2023",12,94422,Unreliable
,"Christian County, MO","29043","2024 (provisional)","2024",Suppressed,94422,Suppressed
,"Christian County, MO","29043","2025 (provisional and partial)","2025",0,94422,Unreliable
,"Clark County, MO","29045","2018","2018",0,6842,Unreliable
,"Clark County, MO","29045","2019","2019",0,6797,Unreliable
,"Clark County, MO","29045","2020","2020",0,6830,Unreliable
,"Clark County, MO","29045","2021","2021",0,6736,Unreliable
,"Clark County, MO","29045","2022","2022",0,6723,Unreliable
,"Clark County, MO","29045","2023","2023",0,6641,Unreliable
,"Clark County, MO","29045","2024 (provisional)","2024",Suppressed,6641,Suppressed
,"Clark County, MO","29045","2025 (provisional and partial)","2025",0,6641,Unreliable
,"Clay County, MO","29047","2018","2018",18,246365,Unreliable
,"Clay County, MO","29047","2019","2019",16,249948,Unreliable
,"Clay County, MO","29047","2020","2020",30,253463,11.8
,"Clay County, MO","29047","2021","2021",42,255518,16.4
,"Clay County, MO","29047","2022","2022",44,257033,17.1
,"Clay County, MO","29047","2023","2023",41,259772,15.8
,"Clay County, MO","29047","2024 (provisional)","2024",35,259772,13.5
,"Clay County, MO","29047","2025 (provisional and partial)","2025",Suppressed,259772,Suppressed
,"Clinton County, MO","29049","2018","2018",0,20470,Unreliable
,"Clinton County, MO","29049","2019","2019",0,20387,Unreliable
,"Clinton County, MO","29049","2020","2020",Suppressed,20553,Suppressed
,"Clinton County, MO","29049","2021","2021",Suppressed,21287,Suppressed
,"Clinton County, MO","29049","2022","2022",Suppressed,21328,Suppressed
,"Clinton County, MO","29049","2023","2023",Suppressed,21548,Suppressed
,"Clinton County, MO","29049","2024 (provisional)","2024",Suppressed,21548,Suppressed
,"Clinton County, MO","29049","2025 (provisional and partial)","2025",0,21548,Unreliable
,"Cole County, MO","29051","2018","2018",Suppressed,76796,Suppressed
,"Cole County, MO","29051","2019","2019",Suppressed,76745,Suppressed
,"Cole County, MO","29051","2020","2020",Suppressed,76191,Suppressed
,"Cole County, MO","29051","2021","2021",Suppressed,77205,Suppressed
,"Cole County, MO","29051","2022","2022",Suppressed,76969,Suppressed
,"Cole County, MO","29051","2023","2023",11,77278,Unreliable
,"Cole County, MO","29051","2024 (provisional)","2024",Suppressed,77278,Suppressed
,"Cole County, MO","29051","2025 (provisional and partial)","2025",Suppressed,77278,Suppressed
,"Cooper County, MO","29053","2018","2018",0,17603,Unreliable
,"Cooper County, MO","29053","2019","2019",Suppressed,17709,Suppressed
,"Cooper County, MO","29053","2020","2020",Suppressed,17102,Suppressed
,"Cooper County, MO","29053","2021","2021",0,17115,Unreliable
,"Cooper County, MO","29053","2022","2022",Suppressed,16772,Suppressed
,"Cooper County, MO","29053","2023","2023",0,16947,Unreliable
,"Cooper County, MO","29053","2024 (provisional)","2024",Suppressed,16947,Suppressed
,"Cooper County, MO","29053","2025 (provisional and partial)","2025",0,16947,Unreliable
,"Crawford County, MO","29055","2018","2018",Suppressed,23957,Suppressed
,"Crawford County, MO","29055","2019","2019",10,23920,Unreliable
,"Crawford County, MO","29055","2020","2020",Suppressed,23739,Suppressed
,"Crawford County, MO","29055","2021","2021",16,22807,Unreliable
,"Crawford County, MO","29055","2022","2022",10,22659,Unreliable
,"Crawford County, MO","29055","2023","2023",Suppressed,22719,Suppressed
,"Crawford County, MO","29055","2024 (provisional)","2024",Suppressed,22719,Suppressed
,"Crawford County, MO","29055","2025 (provisional and partial)","2025",Suppressed,22719,Suppressed
,"Dade County, MO","29057","2018","2018",Suppressed,7569,Suppressed
,"Dade County, MO","29057","2019","2019",0,7561,Unreliable
,"Dade County, MO","29057","2020","2020",Suppressed,7568,Suppressed
,"Dade County, MO","29057","2021","2021",0,7599,Unreliable
,"Dade County, MO","29057","2022","2022",Suppressed,7660,Suppressed
,"Dade County, MO","29057","2023","2023",Suppressed,7716,Suppressed
,"Dade County, MO","29057","2024 (provisional)","2024",0,7716,Unreliable
,"Dade County, MO","29057","2025 (provisional and partial)","2025",0,7716,Unreliable
,"Dallas County, MO","29059","2018","2018",0,16762,Unreliable
,"Dallas County, MO","29059","2019","2019",Suppressed,16878,Suppressed
,"Dallas County, MO","29059","2020","2020",Suppressed,17219,Suppressed
,"Dallas County, MO","29059","2021","2021",0,17341,Unreliable
,"Dallas County, MO","29059","2022","2022",Suppressed,17626,Suppressed
,"Dallas County, MO","29059","2023","2023",Suppressed,17768,Suppressed
,"Dallas County, MO","29059","2024 (provisional)","2024",Suppressed,17768,Suppressed
,"Dallas County, MO","29059","2025 (provisional and partial)","2025",0,17768,Unreliable
,"Daviess County, MO","29061","2018","2018",0,8313,Unreliable
,"Daviess County, MO","29061","2019","2019",0,8278,Unreliable
,"Daviess County, MO","29061","2020","2020",0,8283,Unreliable
,"Daviess County, MO","29061","2021","2021",0,8399,Unreliable
,"Daviess County, MO","29061","2022","2022",Suppressed,8435,Suppressed
,"Daviess County, MO","29061","2023","2023",0,8551,Unreliable
,"Daviess County, MO","29061","2024 (provisional)","2024",0,8551,Unreliable
,"Daviess County, MO","29061","2025 (provisional and partial)","2025",0,8551,Unreliable
,"DeKalb County, MO","29063","2018","2018",0,12630,Unreliable
,"DeKalb County, MO","29063","2019","2019",0,12547,Unreliable
,"DeKalb County, MO","29063","2020","2020",Suppressed,10944,Suppressed
,"DeKalb County, MO","29063","2021","2021",Suppressed,11098,Suppressed
,"DeKalb County, MO","29063","2022","2022",Suppressed,11336,Suppressed
,"DeKalb County, MO","29063","2023","2023",Suppressed,9899,Suppressed
,"DeKalb County, MO","29063","2024 (provisional)","2024",0,9899,Unreliable
,"DeKalb County, MO","29063","2025 (provisional and partial)","2025",0,9899,Unreliable
,"Dent County, MO","29065","2018","2018",Suppressed,15441,Suppressed
,"Dent County, MO","29065","2019","2019",Suppressed,15573,Suppressed
,"Dent County, MO","29065","2020","2020",Suppressed,15481,Suppressed
,"Dent County, MO","29065","2021","2021",12,14432,Unreliable
,"Dent County, MO","29065","2022","2022",Suppressed,14467,Suppressed
,"Dent County, MO","29065","2023","2023",Suppressed,14647,Suppressed
,"Dent County, MO","29065","2024 (provisional)","2024",Suppressed,14647,Suppressed
,"Dent County, MO","29065","2025 (provisional and partial)","2025",Suppressed,14647,Suppressed
,"Douglas County, MO","29067","2018","2018",Suppressed,13373,Suppressed
,"Douglas County, MO","29067","2019","2019",Suppressed,13185,Suppressed
,"Douglas County, MO","29067","2020","2020",0,13344,Unreliable
,"Douglas County, MO","29067","2021","2021",Suppressed,11732,Suppressed
,"Douglas County, MO","29067","2022","2022",Suppressed,11975,Suppressed
,"Douglas County, MO","29067","2023","2023",Suppressed,12228,Suppressed
,"Douglas County, MO","29067","2024 (provisional)","2024",0,12228,Unreliable
,"Douglas County, MO","29067","2025 (provisional and partial)","2025",0,12228,Unreliable
,"Dunklin County, MO","29069","2018","2018",Suppressed,29423,Suppressed
,"Dunklin County, MO","29069","2019","2019",0,29131,Unreliable
,"Dunklin County, MO","29069","2020","2020",0,28878,Unreliable
,"Dunklin County, MO","29069","2021","2021",Suppressed,27717,Suppressed
,"Dunklin County, MO","29069","2022","2022",Suppressed,27406,Suppressed
,"Dunklin County, MO","29069","2023","2023",Suppressed,27032,Suppressed
,"Dunklin County, MO","29069","2024 (provisional)","2024",0,27032,Unreliable
,"Dunklin County, MO","29069","2025 (provisional and partial)","2025",0,27032,Unreliable
,"Franklin County, MO","29071","2018","2018",32,103670,30.9
,"Franklin County, MO","29071","2019","2019",33,103967,31.7
,"Franklin County, MO","29071","2020","2020",46,104469,44.0
,"Franklin County, MO","29071","2021","2021",36,105231,34.2
,"Franklin County, MO","29071","2022","2022",37,105879,34.9
,"Franklin County, MO","29071","2023","2023",23,106404,21.6
,"Franklin County, MO","29071","2024 (provisional)","2024",17,106404,Unreliable
,"Franklin County, MO","29071","2025 (provisional and partial)","2025",Suppressed,106404,Suppressed
,"Gasconade County, MO","29073","2018","2018",Suppressed,14705,Suppressed
,"Gasconade County, MO","29073","2019","2019",Suppressed,14706,Suppressed
,"Gasconade County, MO","29073","2020","2020",Suppressed,14566,Suppressed
,"Gasconade County, MO","29073","2021","2021",Suppressed,14791,Suppressed
,"Gasconade County, MO","29073","2022","2022",Suppressed,14768,Suppressed
,"Gasconade County, MO","29073","2023","2023",Suppressed,14705,Suppressed
,"Gasconade County, MO","29073","2024 (provisional)","2024",Suppressed,14705,Suppressed
,"Gasconade County, MO","29073","2025 (provisional and partial)","2025",0,14705,Unreliable
,"Gentry County, MO","29075","2018","2018",0,6628,Unreliable
,"Gentry County, MO","29075","2019","2019",Suppressed,6571,Suppressed
,"Gentry County, MO","29075","2020","2020",Suppressed,6484,Suppressed
,"Gentry County, MO","29075","2021","2021",Suppressed,6173,Suppressed
,"Gentry County, MO","29075","2022","2022",0,6253,Unreliable
,"Gentry County, MO","29075","2023","2023",0,6287,Unreliable
,"Gentry County, MO","29075","2024 (provisional)","2024",0,6287,Unreliable
,"Gentry County, MO","29075","2025 (provisional and partial)","2025",0,6287,Unreliable
,"Greene County, MO","29077","2018","2018",48,291923,16.4
,"Greene County, MO","29077","2019","2019",53,293086,18.1
,"Greene County, MO","29077","2020","2020",62,294997,21.0
,"Greene County, MO","29077","2021","2021",103,300865,34.2
,"Greene County, MO","29077","2022","2022",86,303293,28.4
,"Greene County, MO","29077","2023","2023",87,304611,28.6
,"Greene County, MO","29077","2024 (provisional)","2024",40,304611,13.1
,"Greene County, MO","29077","2025 (provisional and partial)","2025",Suppressed,304611,Suppressed
,"Grundy County, MO","29079","2018","2018",Suppressed,9914,Suppressed
,"Grundy County, MO","29079","2019","2019",0,9850,Unreliable
,"Grundy County, MO","29079","2020","2020",Suppressed,9595,Suppressed
,"Grundy County, MO","29079","2021","2021",Suppressed,9720,Suppressed
,"Grundy County, MO","29079","2022","2022",0,9838,Unreliable
,"Grundy County, MO","29079","2023","2023",Suppressed,9815,Suppressed
,"Grundy County, MO","29079","2024 (provisional)","2024",Suppressed,9815,Suppressed
,"Grundy County, MO","29079","2025 (provisional and partial)","2025",0,9815,Unreliable
,"Harrison County, MO","29081","2018","2018",0,8414,Unreliable
,"Harrison County, MO","29081","2019","2019",0,8352,Unreliable
,"Harrison County, MO","29081","2020","2020",0,8321,Unreliable
,"Harrison County, MO","29081","2021","2021",Suppressed,8164,Suppressed
,"Harrison County, MO","29081","2022","2022",0,8199,Unreliable
,"Harrison County, MO","29081","2023","2023",Suppressed,8220,Suppressed
,"Harrison County, MO","29081","2024 (provisional)","2024",0,8220,Unreliable
,"Harrison County, MO","29081","2025 (provisional and partial)","2025",0,8220,Unreliable
,"Henry County, MO","29083","2018","2018",Suppressed,21792,Suppressed
,"Henry County, MO","29083","2019","2019",Suppressed,21824,Suppressed
,"Henry County, MO","29083","2020","2020",Suppressed,22076,Suppressed
,"Henry County, MO","29083","2021","2021",Suppressed,22206,Suppressed
,"Henry County, MO","29083","2022","2022",Suppressed,22438,Suppressed
,"Henry County, MO","29083","2023","2023",Suppressed,22485,Suppressed
,"Henry County, MO","29083","2024 (provisional)","2024",Suppressed,22485,Suppressed
,"Henry County, MO","29083","2025 (provisional and partial)","2025",Suppressed,22485,Suppressed
,"Hickory County, MO","29085","2018","2018",Suppressed,9509,Suppressed
,"Hickory County, MO","29085","2019","2019",0,9544,Unreliable
